Metrics TestedAverage Precision;Precision at 10 (P@10);Recall at 10 (R@10);F1 Score;Mean Average Precision;R-Precision;Mean Reciprocal Rank;Precision at 5 (P@5);precision_w_1;precision_w_2;precision_w_3;precision_w_4;precision_w_5;precision_w_6;precision_w_7;precision_w_8;precision_w_9;precision_w_10;precision_w_11;precision_w_12;precision_w_13;precision_w_14;precision_w_15;precision_w_16;precision_w_17;precision_w_18;precision_w_19;precision_w_20;precision_w_21;precision_w_22;precision_w_23;precision_w_24;precision_w_25;precision_w_26;precision_w_27;precision_w_28;precision_w_29;precision_w_30;recall_w_1;recall_w_2;recall_w_3;recall_w_4;recall_w_5;recall_w_6;recall_w_7;recall_w_8;recall_w_9;recall_w_10;recall_w_11;recall_w_12;recall_w_13;recall_w_14;recall_w_15;recall_w_16;recall_w_17;recall_w_18;recall_w_19;recall_w_20;recall_w_21;recall_w_22;recall_w_23;recall_w_24;recall_w_25;recall_w_26;recall_w_27;recall_w_28;recall_w_29;recall_w_30
Biggest Transfer 2019 - (None, {'pf': 'title~1 content~3'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~1 content~4'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~1 content~5'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~2 content~0'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~2 content~1'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~2 content~2'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~2 content~3'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~2 content~4'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~2 content~5'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~3 content~0'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~3 content~1'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~3 content~2'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~3 content~3'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~3 content~4'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~3 content~5'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~4 content~0'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~4 content~1'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~4 content~2'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~4 content~3'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
Biggest Transfer 2019 - (None, {'pf': 'title~4 content~4'}, {'q': '*'});1.0;0.1;0.2;0.13333333333333333;1.0;0.2;1.0;0.2;1.0;0.5;0.3333333333333333;0.25;0.2;0.16666666666666666;0.14285714285714285;0.125;0.1111111111111111;0.1;0.09090909090909091;0.08333333333333333;0.07692307692307693;0.07142857142857142;0.06666666666666667;0.0625;0.058823529411764705;0.05555555555555555;0.05263157894736842;0.05;0.047619047619047616;0.045454545454545456;0.043478260869565216;0.041666666666666664;0.04;0.038461538461538464;0.037037037037037035;0.03571428571428571;0.034482758620689655;0.03333333333333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
